Mock,H1N1
Nicholas Bayless_10.1 -_(HTA-2_0),Nicholas Bayless_10.1+_(HTA-2_0)
Nicholas Bayless_10.2 -_(HTA-2_0),Nicholas Bayless_10.2 +_(HTA-2_0)
Nicholas Bayless_10.3 -_(HTA-2_0),Nicholas Bayless_10.3 +_(HTA-2_0)
Nicholas Bayless_11.1 -_(HTA-2_0),Nicholas Bayless_11.1+_(HTA-2_0)
Nicholas Bayless_11.2 -_(HTA-2_0),Nicholas Bayless_11.2+_(HTA-2_0)
Nicholas Bayless_11.3 -_(HTA-2_0),Nicholas Bayless_11.3 +_(HTA-2_0)
Nicholas Bayless_12.1-_(HTA-2_0),Nicholas Bayless_12.1 +_(HTA-2_0)
Nicholas Bayless_12.2-_(HTA-2_0),Nicholas Bayless_12.2 +_(HTA-2_0)
Nicholas Bayless_7.1 -_(HTA-2_0),Nicholas Bayless_7.1 +_(HTA-2_0)
Nicholas Bayless_7.2-_(HTA-2_0),Nicholas Bayless_7.2 +_(HTA-2_0)
Nicholas Bayless_7.3 -_(HTA-2_0),Nicholas Bayless_7.3 +_(HTA-2_0)
Nicholas Bayless_8.1-_(HTA-2_0),Nicholas Bayless_8.1+_(HTA-2_0)
Nicholas Bayless_8.2 -_(HTA-2_0),Nicholas Bayless_8.2 +_(HTA-2_0)
Nicholas Bayless_8.3 -_(HTA-2_0),Nicholas Bayless_8.3 +_(HTA-2_0)
Nicholas Bayless_9.1 -_(HTA-2_0),Nicholas Bayless_9.1 +_(HTA-2_0)
Nicholas Bayless_9.2__(HTA-2_0),Nicholas Bayless_9.2+_(HTA-2_0)
Nicholas Bayless_9.3 -_(HTA-2_0),Nicholas Bayless_9.3+_(HTA-2_0)
Nicholas Bayless_US 1.1_(HTA-2_0),Nicholas Bayless_H1N1 1.1_(HTA-2_0)
Nicholas Bayless_US 1.2_(HTA-2_0),Nicholas Bayless_H1N1 1.2_(HTA-2_0)
Nicholas Bayless_US 1.3_(HTA-2_0),Nicholas Bayless_H1N1 1.3_(HTA-2_0)
Nicholas Bayless_US 13.1_(HTA-2_0),Nicholas Bayless_H1N1 13.1_(HTA-2_0)
Nicholas Bayless_US 13.2_(HTA-2_0),Nicholas Bayless_H1N1 13.2_(HTA-2_0)
Nicholas Bayless_US 13.3_(HTA-2_0),Nicholas Bayless_H1N1 13.3_(HTA-2_0)
Nicholas Bayless_US 14.1_(HTA-2_0),Nicholas Bayless_H1N1 14.1_(HTA-2_0)
Nicholas Bayless_US 14.2_(HTA-2_0),Nicholas Bayless_H1N1 14.2_(HTA-2_0)
Nicholas Bayless_US 14.3_(HTA-2_0),Nicholas Bayless_H1N1 14.3_(HTA-2_0)
Nicholas Bayless_US 16.1_(HTA-2_0),Nicholas Bayless_H1N1 16.1_(HTA-2_0)
Nicholas Bayless_US 16.2_(HTA-2_0),Nicholas Bayless_H1N1 16.2_(HTA-2_0)
Nicholas Bayless_US 16.3_(HTA-2_0),Nicholas Bayless_H1N1 16.3_(HTA-2_0)
Nicholas Bayless_US 17.1_(HTA-2_0),Nicholas Bayless_H1N1 17.1_(HTA-2_0)
Nicholas Bayless_US 17.2_(HTA-2_0),Nicholas Bayless_H1N1 17.2_(HTA-2_0)
Nicholas Bayless_US 17.3_(HTA-2_0),Nicholas Bayless_H1N1 17.3_(HTA-2_0)
Nicholas Bayless_US 18.1_(HTA-2_0),Nicholas Bayless_H1N1 18.1_(HTA-2_0)
Nicholas Bayless_US 18.3b_(HTA-2_0),Nicholas Bayless_H1N1 18.3_(HTA-2_0)
Nicholas Bayless_US 19.1_(HTA-2_0),Nicholas Bayless_H1N1 19.1_(HTA-2_0)
Nicholas Bayless_US 19.2_(HTA-2_0),Nicholas Bayless_H1N1 19.2_(HTA-2_0)
Nicholas Bayless_US 19.3_(HTA-2_0),Nicholas Bayless_H1N1 19.3_(HTA-2_0)
Nicholas Bayless_US 2.1_(HTA-2_0),Nicholas Bayless_H1N1 2.1_(HTA-2_0)
Nicholas Bayless_US 2.2_(HTA-2_0),Nicholas Bayless_H1N1 2.2_(HTA-2_0)
Nicholas Bayless_US 2.3_(HTA-2_0),Nicholas Bayless_H1N1 2.3_(HTA-2_0)
Nicholas Bayless_US 20.1b_(HTA-2_0),Nicholas Bayless_H1N1 20.1_(HTA-2_0)
Nicholas Bayless_US 20.2_(HTA-2_0),Nicholas Bayless_H1N1 20.2_(HTA-2_0)
Nicholas Bayless_US 20.3_(HTA-2_0),Nicholas Bayless_H1N1 20.3_(HTA-2_0)
Nicholas Bayless_US 21.1_(HTA-2_0),Nicholas Bayless_H1N1 21.1_(HTA-2_0)
Nicholas Bayless_US 21.2_(HTA-2_0),Nicholas Bayless_H1N1 21.2b_(HTA-2_0)
Nicholas Bayless_US 21.3_(HTA-2_0),Nicholas Bayless_H1N1 21.3_(HTA-2_0)
Nicholas Bayless_US 3.2_(HTA-2_0),Nicholas Bayless_H1N1 3.2_(HTA-2_0)
Nicholas Bayless_US 3.3_(HTA-2_0),Nicholas Bayless_H1N1 3.3_(HTA-2_0)
Nicholas Bayless_US 4.3_(HTA-2_0),Nicholas Bayless_H1N1 4.3_(HTA-2_0)
Nicholas Bayless_US 5.1,Nicholas Bayless_H1N1 5.1_(HTA-2_0)
Nicholas Bayless_US 5.3_(HTA-2_0),Nicholas Bayless_H1N1 5.3_(HTA-2_0)
Nicholas Bayless_US 6.1_(HTA-2_0),Nicholas Bayless_H1N1 6.1_(HTA-2_0)
Nicholas Bayless_US 6.2_(HTA-2_0),Nicholas Bayless_H1N1 6.2_(HTA-2_0)
Nicholas Bayless_US 6.3_(HTA-2_0),Nicholas Bayless_H1N1 6.3_(HTA-2_0)
